genome,Modules,KO_number,median_comparison,median_high,median_low,IQR_high,IQR_low
Mitsuokella jalaludinii DSM,M00854,K00963,High,0,0.043517465,0.16090225575,0.046809366
Mitsuokella jalaludinii DSM,M00854,K00975,High,0.1920162595,0.094710947,0.06847225525,0.1331642955
Mitsuokella jalaludinii DSM,M00016,K01586,High,0.3212830745,0.1613219,0.07188693925,0.2515178935
Mitsuokella jalaludinii DSM,M00525,K01586,High,0.3212830745,0.1613219,0.07188693925,0.2515178935
Mitsuokella jalaludinii DSM,M00526,K01586,High,0.3212830745,0.1613219,0.07188693925,0.2515178935
Mitsuokella jalaludinii DSM,M00527,K01586,High,0.3212830745,0.1613219,0.07188693925,0.2515178935
Mitsuokella jalaludinii DSM,M00003,K01610,High,0.1777195295,0.160822847,0.019198999,0.0111958395
Mitsuokella jalaludinii DSM,M00001,K01624,High,0.111409008,0.084238755,0.0304427425,0.08789033825
Mitsuokella jalaludinii DSM,M00003,K01624,High,0.111409008,0.084238755,0.0304427425,0.08789033825
Mitsuokella jalaludinii DSM,M00165,K01624,High,0.111409008,0.084238755,0.0304427425,0.08789033825
Mitsuokella jalaludinii DSM,M00001,K01689,High,0.148885724,0.1299899695,0.03407775425,0.051754834
Mitsuokella jalaludinii DSM,M00003,K01689,High,0.148885724,0.1299899695,0.03407775425,0.051754834
Mitsuokella jalaludinii DSM,M00016,K01714,High,0.167194257,0.091419082,0.061183301,0.08040207975
Mitsuokella jalaludinii DSM,M00525,K01714,High,0.167194257,0.091419082,0.061183301,0.08040207975
Mitsuokella jalaludinii DSM,M00526,K01714,High,0.167194257,0.091419082,0.061183301,0.08040207975
Mitsuokella jalaludinii DSM,M00527,K01714,High,0.167194257,0.091419082,0.061183301,0.08040207975
Mitsuokella jalaludinii DSM,M00016,K01778,High,0.214543579,0.117998969,0.143811243,0.033979223
Mitsuokella jalaludinii DSM,M00525,K01778,High,0.214543579,0.117998969,0.143811243,0.033979223
Mitsuokella jalaludinii DSM,M00527,K01778,High,0.214543579,0.117998969,0.143811243,0.033979223
Mitsuokella jalaludinii DSM,M00165,K01783,High,0.421686747,0.45618839,0.09751505975,0.1511044175
Mitsuokella jalaludinii DSM,M00001,K01803,High,0.103502511,0.088311688,0.0259556085,0.01016782975
Mitsuokella jalaludinii DSM,M00003,K01803,High,0.103502511,0.088311688,0.0259556085,0.01016782975
Mitsuokella jalaludinii DSM,M00165,K01803,High,0.103502511,0.088311688,0.0259556085,0.01016782975
Mitsuokella jalaludinii DSM,M00165,K01808,High,0.148626944,0.094723247,0.02340900825,0.1131723565
Mitsuokella jalaludinii DSM,M00048,K01923,High,0.252782931,0.221026331,0.03240326925,0.20191713125
Mitsuokella jalaludinii DSM,M00048,K01945,High,0.256644337,0.180118085,0.0378367942499999,0.24729685525
Mitsuokella jalaludinii DSM,M00048,K01952,High,0.3799551345,0.1695930835,0.20540982225,0.28202621875
Olsenella sp. kh2p3,M00026,K00013,High,0.1971138875,0.1604510645,0.04364500175,0.016731761
